
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 46 | Best val score -0.914957 | DKL-prior 0.000456 | BCE 0.370120 | auROC 0.9150:   9%|▉         | 45/500 [55:46<9:05:39, 71.95s/it]
[VAL] Best epoch 46 | Best val score -0.914957 | DKL-prior 0.000456 | BCE 0.370120 | auROC 0.9150:   9%|▉         | 45/500 [55:46<9:05:39, 71.95s/it]
[VAL] Best epoch 46 | Best val score -0.914957 | DKL-prior 0.000456 | BCE 0.370120 | auROC 0.9150:   9%|▉         | 46/500 [55:46<9:05:21, 72.07s/it]
[VAL] Best epoch 46 | Best val score -0.914957 | DKL-prior 0.000456 | BCE 0.370120 | auROC 0.9150:   9%|▉         | 47/500 [56:58<9:04:06, 72.07s/it]
[VAL] Best epoch 46 | Best val score -0.914957 | DKL-prior 0.000456 | BCE 0.370120 | auROC 0.9150:  10%|▉         | 48/500 [58:10<9:02:56, 72.07s/it]
[VAL] Best epoch 49 | Best val score -0.917263 | DKL-prior 0.000522 | BCE 0.370291 | auROC 0.9173:  10%|▉         | 48/500 [59:22<9:02:56, 72.07s/it]
[VAL] Best epoch 49 | Best val score -0.917263 | DKL-prior 0.000522 | BCE 0.370291 | auROC 0.9173:  10%|▉         | 48/500 [59:22<9:02:56, 72.07s/it]
[VAL] Best epoch 49 | Best val score -0.917263 | DKL-prior 0.000522 | BCE 0.370291 | auROC 0.9173:  10%|▉         | 49/500 [59:22<9:02:07, 72.12s/it]
[VAL] Best epoch 49 | Best val score -0.917263 | DKL-prior 0.000522 | BCE 0.370291 | auROC 0.9173:  10%|█         | 50/500 [1:00:34<9:00:26, 72.06s/it]
[VAL] Best epoch 49 | Best val score -0.917263 | DKL-prior 0.000522 | BCE 0.370291 | auROC 0.9173:  10%|█         | 51/500 [1:01:47<8:59:53, 72.15s/it]
[VAL] Best epoch 49 | Best val score -0.917263 | DKL-prior 0.000522 | BCE 0.370291 | auROC 0.9173:  10%|█         | 52/500 [1:02:59<8:59:14, 72.22s/it]
